Characteristics,ALL,016,089,101,102,103,104,105,106,107,108,110,120,131,139,141,142,143,151,152,161,162,170,181,182,191,192,201,202,203,210,221,222,231,239,241,242,243,251,252,259,261,262,263,264,265,266,267,268,271,272,273,274,275,279,281,282,291,292,293,301,302,303,304,309,310,321,322,323,324,325,329,331,332,381,382,383,581,Others
Fuels Consumed,19542403,48911,1911,22287,27546,39047,252196,143444,308358,554566,37393,171417,26471,1831678,144172,107636,72,54040,30493,48700,2271,51574,653339,67541,241,30223,648640,1711374,402287,110458,444700,230935,406629,229475,2574442,4051107,859469,494465,123947,1098,306832,42370,25038,8510,50778,10135,3051,1290,242,83591,41974,76905,31397,54451,22206,175958,140057,174150,16540,424551,11728,22603,1411,166,135575,29680,20317,331,3404,733,13657,17456,10368,4146,303,1976,1730,9195,623048
Materials Consumed,302044142,4355735,1974,622158,872251,582392,11337434,4878625,9743985,10329662,1687186,2221092,1252068,14608301,2235864,2692591,3952,1357387,807484,1270688,153279,871993,3676365,1483956,1659,987874,56050334,13040947,8082699,901522,6603403,3690342,6428353,537104,5205934,30185991,7661473,3954153,4340889,30121,4353611,1409712,835891,728411,2407097,513350,227227,29234,2711,5577328,1056561,3426561,543107,1952420,959581,7289709,6032760,11653465,594282,9129447,400082,564202,26224,2018,6248594,668243,5869388,13857,73595,25219,249938,466503,92218,124873,5985,2293,329454,132993,3276779
Total Inputs,385108361,5515461,5694,681072,1012253,848618,13813011,5595086,12355151,12608885,1903568,2934954,1727338,19179668,3214014,4151026,4755,1957015,990656,1609826,186078,1254582,4828703,2069023,14389,1324590,57852567,16847964,10085397,1082450,9213322,4345856,7771197,902725,9468740,40194515,9352943,5081006,5450826,35441,6461063,1702550,1274179,891807,3692930,749658,302565,43187,3127,6956449,1288166,3856759,693343,2204729,1134350,9349201,7847940,13358068,725670,11087535,527697,821213,48612,2861,7113843,926988,6997633,21356,113067,34400,384191,628353,568756,199752,7032,8680,369170,200855,15040260
Products & By-products,408371845,4814407,12201,716344,961626,812536,12074624,5628150,11152715,13731763,2180751,3499971,2397887,19789849,3218992,4438278,5530,2062768,1000974,1765858,170062,1126478,5617373,1824309,16169,1322169,65828663,19181988,12080913,1353884,11858591,5149733,9153540,1123119,12226254,42746303,10311862,5654561,5937071,50272,6413680,1884482,1095291,895624,3410616,832902,309736,55379,3309,7619475,1460936,4184048,823186,2673072,1326808,9974351,8470496,14206133,774826,13062178,811882,802428,41316,3839,8526539,1007925,6487559,20518,104732,43640,481638,692633,73441,201891,5514,95,351428,107687,6132075
Value of Output,467621696,5946915,12675,752992,1081978,1066319,14325310,6025524,13475239,15308858,2335795,3861561,2659033,23308231,3889151,5329316,6318,2320528,1142863,1983528,199861,1392750,5960453,2967691,27769,1630156,66341604,20863045,12957427,1408560,13572797,5543329,9929132,1204398,13412250,47755392,10979444,6059574,7248338,50866,8198254,2137362,1575219,1069987,4552450,1066401,400301,67007,3364,8698775,1600912,4446934,898545,2771472,1422871,12175753,10042699,15265931,895200,13882938,932753,1010629,68459,3919,8924511,1186379,7485385,29137,135413,45886,581351,813754,758562,315223,11186,19122,388653,375070,19026961
Depreciation,12055754,38837,1549,10699,12737,42907,113846,66559,151150,396623,14632,150679,33449,895094,113007,106166,74,60695,22801,43423,1687,36340,261995,146718,576,37275,983920,897837,252081,61827,442440,150474,282855,77724,735920,1331526,274457,150953,141254,721,196845,68593,72590,27310,92021,19100,6857,2295,441,137251,41137,69918,24782,52804,30232,261149,195106,495031,23803,508777,28435,14913,4180,184,149917,22661,30722,2293,2724,1791,19063,24093,18525,4066,1323,4291,1063,18049,837910
Net Value Added,70457581,392617,5431,61221,56988,174794,398453,363878,968938,2303351,417595,775928,898246,3233469,562129,1072125,1488,302818,129407,330279,12096,101829,869755,751949,12804,268291,7505117,3117244,2619950,264282,3917035,1046999,1875081,223949,3207591,6229351,1352044,827615,1656258,14704,1540345,366219,228449,150870,767499,297642,90879,21526,-205,1605074,271609,520258,180420,513939,258289,2565402,1999653,1412832,145727,2286626,376620,174504,15667,873,1660751,236730,457029,5487,19622,9695,178097,161307,171281,111405,2832,6151,18420,156166,3148790
Rent Paid,1349336,4112,148,896,1628,9283,12550,9419,25327,45311,5423,12375,7040,29502,11240,78124,67,7887,5146,13724,384,4162,34022,30084,1304,18179,19656,44377,50887,1575,37319,8851,28121,7883,107891,85807,14029,7947,40469,160,25934,18671,9591,4754,18485,7877,3898,463,0,42837,10704,8444,3075,6312,6544,47169,36045,22194,7227,40247,4797,2591,1026,54,13713,8336,9055,112,220,144,13212,5276,6878,996,42,103,827,3381,135794
Interest Paid,8802079,82645,386,5859,23277,32858,151013,56437,330067,520550,12509,87477,22183,690640,109542,116458,74,60583,19653,41547,3175,41192,182486,96657,1461,38873,337986,410550,276801,15744,270022,57852,253917,43793,419696,1300797,219318,127767,132135,751,176667,46218,14306,25390,54428,25145,2830,4253,93,154693,30732,113833,17927,38003,28650,185366,166194,96032,26938,231405,53245,16390,2996,204,68031,23036,77898,387,3328,1577,16359,14145,11532,4978,165,1603,5838,9277,457259
Rent Received,275104,2045,0,73,963,1298,6078,1378,2568,11205,299,4730,1955,8524,4339,10712,0,567,1725,3407,133,739,4060,11550,89,2121,13243,12584,6352,396,28045,7261,6251,218,15594,7961,2646,2079,6246,3,5014,2517,4742,2681,1021,270,57,381,0,1505,177,2452,185,890,1660,7910,6829,3760,1364,7600,626,268,543,4,1432,3321,732,1,74,34,593,599,2870,152,0,0,1,507,22893
