mae,rmse,r2,smape,wape,median_ae,spearman,fold,train_start,train_end,val_start,val_end,train_size,val_size
4.4647,6.0685,0.9966,0.2167,0.2183,3.6904,0.999,1,2026-01-01,2026-03-07,2026-03-08,2026-04-09,66,33
2.7569,2.7569,,0.1466,0.1465,2.7569,0.0,2,2026-01-01,2026-04-09,2026-04-10,2026-04-10,99,1
