iter	RMSE
0	4.039895059
1	3.751132906
2	3.479921653
3	3.240477579
4	3.044210307
5	2.85367265
6	2.691356431
7	2.545159864
8	2.409990552
9	2.293461456
10	2.189211584
11	2.090857938
12	2.012742082
13	1.93487582
14	1.849399881
15	1.783038878
16	1.723085489
17	1.667913036
18	1.616881085
19	1.56337144
20	1.514402291
21	1.471165256
22	1.430155281
23	1.395697638
24	1.362952235
25	1.328160253
26	1.298551125
27	1.275860205
28	1.244946989
29	1.218217015
30	1.190799832
31	1.165906084
32	1.144791228
33	1.121618085
34	1.102560844
35	1.080923175
36	1.064034272
37	1.043147786
38	1.025143657
39	1.008594523
40	0.9978761915
41	0.982144293
42	0.9668905673
43	0.9479983319
44	0.9326668574
45	0.9195652646
46	0.9055373717
47	0.8922757917
48	0.8781936416
49	0.866350403
50	0.8556494579
51	0.8435587615
52	0.8342708815
53	0.8239180739
54	0.8142995755
55	0.8043353553
56	0.7953774807
57	0.7890041679
58	0.7803794844
59	0.772598606
60	0.7632487934
61	0.7524994712
62	0.7451408959
63	0.7387698223
64	0.7311730823
65	0.7241881129
66	0.7160143883
67	0.7089221926
68	0.7026702768
69	0.6973345102
70	0.692247956
71	0.6844122658
72	0.6780370624
73	0.6715716457
74	0.6665625985
75	0.6625314247
76	0.6557522061
77	0.6511239665
78	0.6458876849
79	0.6410435768
80	0.6350118896
81	0.629538954
82	0.6244999535
83	0.6202760626
84	0.6168414816
85	0.6125762452
86	0.6085141039
87	0.6033824785
88	0.5985659041
89	0.5951125279
90	0.5913220999
91	0.5867523807
92	0.5835798887
93	0.5796738081
94	0.5750400994
95	0.5716261763
96	0.5656910766
97	0.5607581746
98	0.5570380738
99	0.5531865356
100	0.5498478996
101	0.5446778706
102	0.5396909911
103	0.5354016374
104	0.5324876614
105	0.5296867766
106	0.5266881224
107	0.5241799526
108	0.5206518949
109	0.5178047145
110	0.5139834151
111	0.5109327068
112	0.5081117927
113	0.504183555
114	0.5015677561
115	0.4994609972
116	0.4975445753
117	0.4944880478
118	0.4917881513
119	0.4899152109
120	0.4876225987
121	0.4828817178
122	0.4800587662
123	0.4772514022
124	0.475816624
125	0.473407189
126	0.4715462478
127	0.4679362246
128	0.4650577987
129	0.461882384
130	0.4600309557
131	0.4580525753
132	0.4546944706
133	0.4525185613
134	0.4504413822
135	0.4480197432
136	0.4455625451
137	0.443082697
138	0.4417646799
139	0.4386800011
140	0.4367957165
141	0.435559159
142	0.4327711445
143	0.4297780868
144	0.4286183336
145	0.4268952473
146	0.4241662579
147	0.4211685506
148	0.4174393235
149	0.4163820274
150	0.4130406993
151	0.4117257545
152	0.4091752607
153	0.4066756972
154	0.4048586922
155	0.4032714634
156	0.4020658993
157	0.4004644673
158	0.3988196559
159	0.3969633375
160	0.3953861054
161	0.3942809251
162	0.391796233
163	0.3888939254
164	0.3879959629
165	0.3869306529
166	0.3844968056
167	0.3832882571
168	0.3827236802
169	0.3809267175
170	0.3796991134
171	0.3788628263
172	0.3773122228
173	0.3760255931
174	0.3741332643
175	0.3709037948
176	0.3702465486
177	0.3683796527
178	0.3665044855
179	0.3654517493
180	0.3634344055
181	0.3603190754
182	0.3591808455
183	0.3579568168
184	0.3560664078
185	0.3538812414
186	0.3529963949
187	0.3519760468
188	0.3512272827
189	0.3498343768
190	0.34907243
191	0.347457841
192	0.345833702
193	0.3447582695
194	0.3440690071
195	0.3427876231
196	0.3415817945
197	0.3407110551
198	0.3393537588
199	0.3385546457
